#,Name,MLBAMID,Team,STD_POS,Last,First,Lastv2,Firstv2
1,Clayton Kershaw,477132,LAD,SP,Kershaw,Clayton,Kershaw,Clayton
3,Cory Rasmus,474284,TB,P,Rasmus,Cory,Rasmus,Cory
5,Kenley Jansen,445276,LAA,RP,Jansen,Kenley,Jansen,Kenley
6,Max Scherzer,453286,TOR,SP,Scherzer,Max,Scherzer,Max
7,Liam Hendriks,521230,BOS,RP,Hendriks,Liam,Hendriks,Liam
8,Justin Wilson,458677,BOS,RP,Wilson,Justin,Wilson,Justin
9,Charlie Morton,450203,ATL,SP,Morton,Charlie,Morton,Charlie
11,Anthony Gose,543238,ARI,RP,Gose,Anthony,Gose,Anthony
16,Ryan Brasier,518489,CHC,RP,Brasier,Ryan,Brasier,Ryan
19,Alex Cobb,502171,DET,SP,Cobb,Alex,Cobb,Alex
20,Carlos Carrasco,471911,ATL,SP,Carrasco,Carlos,Carrasco,Carlos
21,Craig Kimbrel,518886,HOU,RP,Kimbrel,Craig,Kimbrel,Craig
22,Martin Perez,527048,CHW,SP,Perez,Martin,Pérez,Martín
23,Luis Garcia,472610,LAA,RP,Garcia,Luis,García,Luis
25,Evan Scribner,519267,TB,P,Scribner,Evan,Scribner,Evan
28,Hunter Strickland,519326,LAA,RP,Strickland,Hunter,Strickland,Hunter
29,Bryan Shaw,543766,SEA,RP,Shaw,Bryan,Shaw,Bryan
30,David Robertson,502085,PHI,RP,Robertson,David,Robertson,David
32,Justin Verlander,434378,SF,SP,Verlander,Justin,Verlander,Justin
33,Wade Miley,489119,CIN,SP,Miley,Wade,Miley,Wade
34,Kirby Yates,489446,LAD,RP,Yates,Kirby,Yates,Kirby
35,Nathan Eovaldi,543135,TEX,SP,Eovaldi,Nathan,Eovaldi,Nathan
36,Casey Kelly,543391,ARI,RP,Kelly,Casey,Kelly,Casey
39,Patrick Corbin,571578,TEX,SP,Corbin,Patrick,Corbin,Patrick
40,Dallas Keuchel,572971,KC,SP,Keuchel,Dallas,Keuchel,Dallas
46,Tyler Matzek,554431,STL,RP,Matzek,Tyler,Matzek,Tyler
49,Shelby Miller,571946,MIL,RP,Miller,Shelby,Miller,Shelby
53,Aroldis Chapman,547973,BOS,RP,Chapman,Aroldis,Chapman,Aroldis
55,Zack Wheeler,554430,PHI,SP,Wheeler,Zack,Wheeler,Zack
56,Erasmo Ramirez,541640,MIN,RP,Ramirez,Erasmo,Ramírez,Erasmo
57,Michael Tonkin,543859,MIN,RP,Tonkin,Michael,Tonkin,Michael
60,Scott Alexander,518397,SF,RP,Alexander,Scott,Alexander,Scott
61,Chris Sale,519242,ATL,SP,Sale,Chris,Sale,Chris
65,Michael Mariot,592527,SEA,RP,Mariot,Michael,Mariot,Michael
67,Chasen Shreve,592741,ATL,RP,Shreve,Chasen,Shreve,Chasen
68,Jacob deGrom,594798,TEX,SP,deGrom,Jacob,deGrom,Jacob
69,Vince Velasquez,592826,CLE,RP,Velasquez,Vince,Velasquez,Vince
70,Tyler Lyons,544928,NYY,P,Lyons,Tyler,Lyons,Tyler
71,Tommy Kahnle,592454,DET,RP,Kahnle,Tommy,Kahnle,Tommy
72,Jose Quintana,500779,MIL,SP,Quintana,Jose,Quintana,Jose
73,Drew Pomeranz,519141,CHC,RP,Pomeranz,Drew,Pomeranz,Drew
77,Robbie Ray,592662,SF,SP,Ray,Robbie,Ray,Robbie
81,Jose Urena,570632,LAA,SP,Urena,Jose,Ureña,José
85,Heath Hembree,592390,SEA,RP,Hembree,Heath,Hembree,Heath
86,Jameson Taillon,592791,CHC,SP,Taillon,Jameson,Taillon,Jameson
90,Luke Jackson,592426,SEA,RP,Jackson,Luke,Jackson,Luke
91,Taijuan Walker,592836,PHI,SP,Walker,Taijuan,Walker,Taijuan
94,Kyle Hendricks,543294,LAA,SP,Hendricks,Kyle,Hendricks,Kyle
