"pitcher","game_year","num_pitch_types","pitch_arsenal","total_combinations","total_pitches","release_similarity_arsenal","approach_divergence_arsenal","tunnel_quality_arsenal","tunnel_quality_percentile","release_sim_percentile","approach_div_percentile","tunneling_plus_score","tunneling_plus_percentile","avg_actual_rv","avg_xRV"
595928,2024,2,"FC/FF",2,96,0.389390686987515,0.959452437531329,0.674421562259422,100,100,99,75,1.9,0.0784375,0.0106190069909644
521230,2023,2,"FF/SL",2,255,0.324813966079647,0.961830615036862,0.643322290558254,100,98,99.1,100.9,49.7,-0.0100705882352941,-0.00937076847014182
657272,2023,2,"SI/SL",2,63,0.329361424905103,0.94765796022234,0.638509692563722,99.9,98.3,98.5,98.1,23,0.0481904761904762,-0.00723809090309909
543339,2023,2,"FF/SL",2,183,0.337056051695542,0.936584234584215,0.636820143139879,99.9,99,97.6,96.1,12,-0.015327868852459,-0.00566444290681651
621237,2023,2,"FC/SI",2,2214,0.323644345002554,0.938607170497065,0.63112575774981,99.8,98,97.8,103.5,73.5,-0.0157967479674797,-0.0114017607137437
689520,2025,3,"CH/FC/FF",6,558,0.379992466930728,0.879517961515771,0.629755214223249,99.8,100,65.1,99.3,33.7,-0.0574623655913978,-0.00815877459950492
642121,2025,3,"CH/FC/FF",6,2310,0.345354912415776,0.91333825533646,0.629346583876118,99.8,99.3,93.9,98.4,25.3,-0.0154545454545455,-0.00746377344967422
629498,2023,2,"FF/SL",2,90,0.277385716942225,0.978069498882685,0.627727607912455,99.7,80.5,99.6,102.5,65.3,0.0290666666666667,-0.0106259218242485
595897,2023,2,"FF/SL",2,174,0.2801019074214,0.969081002076244,0.624591454748822,99.7,82.1,99.4,112.5,99,0.00203448275862069,-0.0183740686063237
686751,2024,2,"FF/SL",2,135,0.308211535123029,0.938200037035017,0.623205786079023,99.6,95,97.7,103.9,76.6,0.0621555555555556,-0.0117446505904405
680604,2025,2,"CH/FC",2,108,0.343438566926706,0.902900938025081,0.623169752475893,99.6,99.2,89.6,96.6,14.2,-0.0133333333333333,-0.0061035063412823
623149,2024,2,"FF/ST",2,1875,0.282275755006076,0.962677367604839,0.622476561305458,99.5,83.9,99.2,107.5,93.8,-0.01296,-0.0144876479941187
678226,2023,2,"FF/SL",2,249,0.320329800934611,0.924607974018376,0.622468887476493,99.5,97.5,96.2,97.9,21.9,0.0105060240963855,-0.00709708223921662
676684,2025,4,"CH/FF/SI/SL",12,10233,0.347214202564299,0.89659736682263,0.621905784693464,99.5,99.5,85,106.3,90.4,-0.0156548042704626,-0.013572781718453
668970,2024,2,"FF/ST",2,78,0.255281272217729,0.987989389876367,0.621635331047048,99.4,63.4,99.8,101.7,58.2,-0.00442307692307692,-0.0100175390879695
643338,2024,2,"FF/SL",2,2499,0.295497464563585,0.944636609700266,0.620067037131926,99.4,90.3,98.3,103.5,73.5,-0.0160709134615385,-0.0114483877160734
606160,2023,4,"CH/FF/SI/SL",12,11277,0.367068785449941,0.872622018154218,0.61984540180208,99.3,99.8,54.6,100.5,44.6,0.00160511590727418,-0.00906153055995374
678226,2024,2,"FF/SL",2,972,0.281253406972025,0.956792542468942,0.619022974720484,99.3,82.9,98.9,105.6,87.2,-0.0229598765432099,-0.0130614942517477
643338,2023,2,"FF/SL",2,582,0.292114361345772,0.944810922276995,0.618462641811384,99.3,88.7,98.3,103.6,74.3,-0.0105515463917526,-0.0115017259164027
656186,2024,2,"FF/SL",2,237,0.316947695842827,0.919678165378834,0.618312930610831,99.2,96.7,95.3,100.3,42.9,0.0155189873417722,-0.00894803867735782
592866,2025,5,"CH/FF/SI/SL/ST",20,17376,0.376163062040286,0.860411344190591,0.618287203115438,99.2,99.9,35.5,93.5,5.8,-0.000535911602209944,-0.00364587048875993
621114,2025,2,"FF/SL",2,117,0.330579934214593,0.90215305187246,0.616366493043526,99.1,98.5,89.1,91.7,3.9,-0.0326410256410256,-0.00225232074108834
623149,2025,2,"FF/ST",2,951,0.259892628526229,0.972393078403579,0.616142853464904,99.1,67,99.5,106.6,91.4,-0.0117223974763407,-0.0138180272105868
641835,2023,2,"SI/SL",2,2412,0.2811459658003,0.947683145640407,0.614414555720354,99,82.7,98.5,106.3,90.4,-0.0108996188055909,-0.0136076378666534
664747,2023,2,"FF/SL",2,3477,0.293075010082818,0.934312629946007,0.613693820014412,99,89.2,97.4,104.3,79.4,-0.0179965457685665,-0.0120262910186237
656641,2023,3,"CH/FF/SL",6,552,0.323103440151931,0.904213155602891,0.613658297877411,99,97.9,90.3,101.1,51.7,-0.0473369565217391,-0.00959347969807783
660813,2024,4,"FC/FF/SI/SL",12,900,0.357223858292201,0.868727596283567,0.612975727287884,98.9,99.5,47.5,107.1,92.8,-0.0473,-0.014167988596455
680742,2024,4,"CU/FF/SI/SL",12,585,0.317374059507014,0.908276461612421,0.612825260559718,98.9,96.9,92.2,105.7,87.7,0.0526307692307692,-0.013101682263928
594798,2024,3,"CH/FF/SL",6,1002,0.312858742342214,0.912550906514291,0.612704824428253,98.8,96.1,93.6,105.3,85.7,-0.00779041916167665,-0.0127737496872007
607188,2023,2,"FF/SL",2,186,0.304468610394682,0.920393649429104,0.612431129911893,98.8,93,95.5,98.2,23.8,0.023758064516129,-0.00729392188828393
623149,2023,2,"FF/ST",2,3102,0.270578895413735,0.953559420410866,0.6120691579123,98.8,75.6,98.8,108.3,95.6,-0.0158455522971652,-0.0151018642804828
