"pitcher","game_year","num_pitch_types","pitch_arsenal","total_combinations","total_pitches","release_similarity_arsenal","approach_divergence_arsenal","tunnel_quality_arsenal"
595928,2024,2,"FC/FF",2,96,0.389390686987515,0.959452437531329,0.674421562259422
521230,2023,2,"FF/SL",2,255,0.324813966079647,0.961830615036862,0.643322290558254
657272,2023,2,"SI/SL",2,63,0.329361424905103,0.94765796022234,0.638509692563722
543339,2023,2,"FF/SL",2,183,0.337056051695542,0.936584234584215,0.636820143139879
621237,2023,2,"FC/SI",2,2214,0.323644345002554,0.938607170497065,0.63112575774981
689520,2025,3,"CH/FC/FF",6,558,0.379992466930728,0.879517961515771,0.629755214223249
642121,2025,3,"CH/FC/FF",6,2310,0.345354912415776,0.91333825533646,0.629346583876118
629498,2023,2,"FF/SL",2,90,0.277385716942225,0.978069498882685,0.627727607912455
595897,2023,2,"FF/SL",2,174,0.2801019074214,0.969081002076244,0.624591454748822
686751,2024,2,"FF/SL",2,135,0.308211535123029,0.938200037035017,0.623205786079023
680604,2025,2,"CH/FC",2,108,0.343438566926706,0.902900938025081,0.623169752475893
623149,2024,2,"FF/ST",2,1875,0.282275755006076,0.962677367604839,0.622476561305458
678226,2023,2,"FF/SL",2,249,0.320329800934611,0.924607974018376,0.622468887476493
676684,2025,4,"CH/FF/SI/SL",12,10233,0.347214202564299,0.89659736682263,0.621905784693464
668970,2024,2,"FF/ST",2,78,0.255281272217729,0.987989389876367,0.621635331047048
643338,2024,2,"FF/SL",2,2499,0.295497464563585,0.944636609700266,0.620067037131926
606160,2023,4,"CH/FF/SI/SL",12,11277,0.367068785449941,0.872622018154218,0.61984540180208
678226,2024,2,"FF/SL",2,972,0.281253406972025,0.956792542468942,0.619022974720484
643338,2023,2,"FF/SL",2,582,0.292114361345772,0.944810922276995,0.618462641811384
656186,2024,2,"FF/SL",2,237,0.316947695842827,0.919678165378834,0.618312930610831
592866,2025,5,"CH/FF/SI/SL/ST",20,17376,0.376163062040286,0.860411344190591,0.618287203115438
621114,2025,2,"FF/SL",2,117,0.330579934214593,0.90215305187246,0.616366493043526
623149,2025,2,"FF/ST",2,951,0.259892628526229,0.972393078403579,0.616142853464904
641835,2023,2,"SI/SL",2,2412,0.2811459658003,0.947683145640407,0.614414555720354
664747,2023,2,"FF/SL",2,3477,0.293075010082818,0.934312629946007,0.613693820014412
656641,2023,3,"CH/FF/SL",6,552,0.323103440151931,0.904213155602891,0.613658297877411
660813,2024,4,"FC/FF/SI/SL",12,900,0.357223858292201,0.868727596283567,0.612975727287884
680742,2024,4,"CU/FF/SI/SL",12,585,0.317374059507014,0.908276461612421,0.612825260559718
594798,2024,3,"CH/FF/SL",6,1002,0.312858742342214,0.912550906514291,0.612704824428253
607188,2023,2,"FF/SL",2,186,0.304468610394682,0.920393649429104,0.612431129911893
623149,2023,2,"FF/ST",2,3102,0.270578895413735,0.953559420410866,0.6120691579123
657044,2025,3,"FF/SI/SL",6,3888,0.338220862269525,0.884083595575684,0.611152228922604
641360,2024,2,"FF/SL",2,459,0.269291565441826,0.95288530912804,0.611088437284933
677958,2024,3,"FF/SI/SL",6,1278,0.318016498192207,0.903948317097061,0.610982407644635
656420,2025,3,"CH/FF/SL",6,480,0.301360630176332,0.920408786296806,0.610884708236569
605177,2024,3,"FF/SI/SL",6,5802,0.306528062061562,0.91514933948566,0.610838700773611
690382,2025,4,"FC/FF/SI/ST",12,1422,0.299617887219799,0.921424930643452,0.610521408931625
656730,2024,2,"FF/KC",2,1998,0.282155237464464,0.938319616446985,0.610237426955725
