"pitcher","game_year","pitch_arsenal","n_pitches","avg_actual_rv","xrv_percentile","tunnel_quality_arsenal","release_similarity_arsenal","approach_divergence_arsenal","tunnel_quality_percentile","release_sim_percentile","approach_div_percentile","num_pitch_types","total_pitches","total_combinations"
595928,2024,"FC/FF",114,0.0733947368421053,0.2,0.674421562259422,0.389390686987515,0.959452437531329,100,100,99.2,2,96,2
521230,2023,"FF/SL",261,-0.00855172413793103,50.3,0.643322290558254,0.324813966079647,0.961830615036862,100,98.1,99.3,2,255,2
543339,2023,"FF/SL",192,-0.01425,72,0.636820143139879,0.337056051695542,0.936584234584215,99.9,99,97.9,2,183,2
621237,2023,"FC/SI",2226,-0.0158760107816712,77.4,0.63112575774981,0.323644345002554,0.938607170497065,99.9,98.1,98.1,2,2214,2
689520,2025,"CH/FC/FF",279,-0.0574623655913978,99.9,0.629755214223249,0.379992466930728,0.879517961515771,99.8,100,65.3,3,558,6
642121,2025,"CH/FC/FF",1161,-0.0154599483204134,75.8,0.629346583876118,0.345354912415776,0.91333825533646,99.8,99.4,94.3,3,2310,6
595897,2023,"FF/SL",174,0.00203448275862069,19,0.624591454748822,0.2801019074214,0.969081002076244,99.7,82.1,99.6,2,174,2
686751,2024,"FF/SL",174,0.0492068965517241,0.8,0.623205786079023,0.308211535123029,0.938200037035017,99.7,95.2,98,2,135,2
680604,2025,"CH/FC",150,0.018,5.6,0.623169752475893,0.343438566926706,0.902900938025081,99.7,99.3,90,2,108,2
623149,2024,"FF/ST",1887,-0.0129825119236884,67.1,0.622476561305458,0.282275755006076,0.962677367604839,99.6,83.9,99.4,2,1875,2
678226,2023,"FF/SL",249,0.0105060240963855,9.6,0.622468887476493,0.320329800934611,0.924607974018376,99.6,97.6,96.6,2,249,2
676684,2025,"CH/FF/SI/SL",3411,-0.0157959542656113,77.2,0.621905784693464,0.347214202564299,0.89659736682263,99.5,99.5,85.4,4,10233,12
643338,2024,"FF/SL",2520,-0.0161059523809524,78.3,0.620067037131926,0.295497464563585,0.944636609700266,99.5,90.4,98.6,2,2499,2
606160,2023,"CH/FF/SI/SL",3759,0.00157621707901038,20.3,0.61984540180208,0.367068785449941,0.872622018154218,99.5,99.8,54.7,4,11277,12
678226,2024,"FF/SL",990,-0.0247575757575758,94.8,0.619022974720484,0.281253406972025,0.956792542468942,99.4,82.9,99.1,2,972,2
643338,2023,"FF/SL",585,-0.0109538461538462,60.1,0.618462641811384,0.292114361345772,0.944810922276995,99.4,88.9,98.7,2,582,2
656186,2024,"FF/SL",249,0.00810843373493976,12.2,0.618312930610831,0.316947695842827,0.919678165378834,99.3,96.9,95.7,2,237,2
592866,2025,"CH/FF/SI/SL/ST",4344,-0.000535911602209944,24.9,0.618287203115438,0.376163062040286,0.860411344190591,99.3,99.9,35.4,5,17376,20
621114,2025,"FF/SL",117,-0.0326410256410256,98.3,0.616366493043526,0.330579934214593,0.90215305187246,99.2,98.6,89.4,2,117,2
623149,2025,"FF/ST",951,-0.0117223974763407,62.7,0.616142853464904,0.259892628526229,0.972393078403579,99.2,66.9,99.7,2,951,2
641835,2023,"SI/SL",2412,-0.0114689054726368,61.8,0.614414555720354,0.2811459658003,0.947683145640407,99.2,82.8,98.8,2,2412,2
664747,2023,"FF/SL",3486,-0.0178666092943201,83.1,0.613693820014412,0.293075010082818,0.934312629946007,99.1,89.3,97.8,2,3477,2
656641,2023,"CH/FF/SL",288,-0.0475625,99.6,0.613658297877411,0.323103440151931,0.904213155602891,99.1,98,90.7,3,552,6
660813,2024,"FC/FF/SI/SL",303,-0.0462772277227723,99.5,0.612975727287884,0.357223858292201,0.868727596283567,99,99.6,47.5,4,900,12
680742,2024,"CU/FF/SI/SL",204,0.046,1,0.612825260559718,0.317374059507014,0.908276461612421,99,97.1,92.6,4,585,12
594798,2024,"CH/FF/SL",516,-0.00794767441860465,47.6,0.612704824428253,0.312858742342214,0.912550906514291,98.9,96.3,94,3,1002,6
607188,2023,"FF/SL",195,0.0243846153846154,3.6,0.612431129911893,0.304468610394682,0.920393649429104,98.9,93.1,95.9,2,186,2
623149,2023,"FF/ST",3111,-0.0160163934426229,78,0.6120691579123,0.270578895413735,0.953559420410866,98.9,75.6,99,2,3102,2
657044,2025,"FF/SI/SL",1950,-0.01052,58.3,0.611152228922604,0.338220862269525,0.884083595575684,98.8,99.2,72,3,3888,6
641360,2024,"FF/SL",462,-0.0101428571428571,56.8,0.611088437284933,0.269291565441826,0.95288530912804,98.8,74.6,99,2,459,2
677958,2024,"FF/SI/SL",654,-0.0121422018348624,64.2,0.610982407644635,0.318016498192207,0.903948317097061,98.7,97.3,90.5,3,1278,6
656420,2025,"CH/FF/SL",243,0.0582098765432099,0.4,0.610884708236569,0.301360630176332,0.920408786296806,98.7,92.2,95.9,3,480,6
605177,2024,"FF/SI/SL",2901,-0.0088459152016546,51.7,0.610838700773611,0.306528062061562,0.91514933948566,98.7,94.4,94.7,3,5802,6
690382,2025,"FC/FF/SI/ST",474,-0.00403164556962025,33.2,0.610521408931625,0.299617887219799,0.921424930643452,98.6,91.8,96.2,4,1422,12
656730,2024,"FF/KC",2004,-0.0246422155688623,94.7,0.610237426955725,0.282155237464464,0.938319616446985,98.6,83.8,98.1,2,1998,2
621237,2024,"FC/SI",3051,-0.0133490658800393,69.1,0.609955792366743,0.311607370772042,0.908304213961445,98.5,96,92.6,2,3036,2
592866,2023,"CH/CU/FF/SI/SL/ST",7860,0.00562824427480916,14.3,0.609884404258605,0.337732487609438,0.882036320907772,98.5,99.1,68.9,6,39300,30
660853,2025,"CH/FF/SL",3315,-0.012668778280543,65.8,0.609685777675597,0.345666210295986,0.873705345055208,98.4,99.4,56.4,3,6630,6
656464,2024,"FF/SI/SL",3552,-0.00973564189189189,55.3,0.608692343582563,0.318088625358796,0.89929606180633,98.4,97.4,87.7,3,7104,6
605177,2025,"FF/SI/SL",1842,-0.0153973941368078,75.6,0.608623584752559,0.314220337247954,0.903026832257165,98.4,96.5,90.1,3,3660,6
656945,2025,"FF/SL",2733,-0.0102996706915477,57.3,0.607906842722194,0.282951725055784,0.932861960388603,98.3,84.2,97.5,2,2730,2
664747,2024,"FF/SL",2931,-0.0125957011258956,65.3,0.607739064432101,0.287666916193471,0.927811212670731,98.3,86.5,96.9,2,2931,2
675921,2023,"CH/FF/SL",240,-0.0012,25.9,0.60748549750229,0.29941299288367,0.915558002120911,98.2,91.7,94.9,3,480,6
682171,2023,"FF/SI/ST",654,-0.0318256880733945,98.1,0.607317216095457,0.30698390908696,0.907650523103954,98.2,94.6,92.2,3,1308,6
552640,2024,"FF/SI/SL",3087,-0.018399416909621,84.9,0.607293682838258,0.311051427974371,0.903535937702145,98.1,95.9,90.3,3,6126,6
592866,2024,"CH/FF/SI/SL/ST",3192,-0.017640977443609,82.5,0.607010930382969,0.357603573958431,0.856418286807507,98.1,99.6,28.9,5,12768,20
