"tunnel_bucket","N","avg_tunnel","avg_xRV"
"0-10%",4,0.461517497903363,0.0347599625469047
"10-20%",27,0.487396991772142,0.0218377282048985
"20-30%",64,0.510399391657211,0.00371162990027196
"30-40%",424,0.533805402390881,-0.00773407264279634
"40-50%",1090,0.55272981642902,-0.00944241387921997
"50-60%",624,0.572460363771041,-0.0104668769268634
"60-70%",145,0.594777395149109,-0.0103811729150566
"70-80%",39,0.616103008650225,-0.0107001719014407
"80-90%",4,0.637444471002916,-0.00841876574845028
"90-100%",1,0.674421562259422,0.0106190069909644
