"pitcher","game_year","n_pitches","tunnel_quality_arsenal","tunnel_quartile","tunnel_bucket","avg_xRV","avg_actual_rv","tunneling_plus","percentile"
661403,2023,3327,0.56913463665458,"Q4 (Best)","50-60%",-0.025794786691344,-0.0197394048692516,122.1,100
643511,2025,2934,0.5601830830922,"Q3","40-50%",-0.0253777406335391,-0.0334263803680982,121.5,100
661403,2024,2949,0.56930137413776,"Q4 (Best)","50-60%",-0.0244748911398472,-0.0402004069175992,120.4,99.9
656730,2024,1998,0.610237426955725,"Q4 (Best)","70-80%",-0.0222294667119359,-0.0248843843843844,117.5,99.9
642207,2023,2841,0.567464593683841,"Q3","50-60%",-0.021972904898007,-0.0279271383315734,117.1,99.8
656730,2025,2259,0.589913273851175,"Q4 (Best)","60-70%",-0.0218870538413213,-0.0192045152722444,117,99.8
660813,2023,2787,0.600900116087124,"Q4 (Best)","60-70%",-0.0213792626391129,-0.0269343379978471,116.4,99.8
678606,2024,1428,0.565733531882421,"Q3","50-60%",-0.0212750972652215,-0.027046218487395,116.2,99.7
663158,2024,2898,0.552132822140092,"Q2","40-50%",-0.0209726097315111,-0.0195714285714286,115.8,99.7
656629,2025,639,0.604995522886868,"Q4 (Best)","60-70%",-0.0208420053329658,-0.0233990610328638,115.7,99.6
689958,2025,87,0.580234382261789,"Q4 (Best)","50-60%",-0.0208900434262087,0.0297241379310345,115.7,99.6
656945,2024,3450,0.575712151972073,"Q4 (Best)","50-60%",-0.0201480560142037,-0.0251513043478261,114.8,99.5
663158,2025,3222,0.552765977683463,"Q2","40-50%",-0.0200573852489842,-0.0238919925512104,114.7,99.5
682842,2023,1554,0.579208712188828,"Q4 (Best)","50-60%",-0.0199914205112336,-0.0239073359073359,114.6,99.5
642585,2023,2931,0.559234828024746,"Q3","40-50%",-0.0199599007033517,-0.0270747185261003,114.5,99.4
643511,2024,2964,0.572412917739529,"Q4 (Best)","50-60%",-0.0199339747600844,-0.0213016194331984,114.5,99.4
681870,2025,1509,0.554578602601007,"Q2","40-50%",-0.0198139027485034,-0.0202425447316103,114.3,99.3
656629,2024,3423,0.596476652331383,"Q4 (Best)","60-70%",-0.0191978754321113,-0.0172191060473269,113.6,99.3
657612,2024,2865,0.551866615326534,"Q2","40-50%",-0.0188615316513369,-0.0207183246073298,113.1,99.3
664126,2023,2181,0.530837095602911,"Q1 (Worst)","30-40%",-0.0187200671288059,-0.0300398899587345,112.9,99.2
670970,2025,2982,0.576324082671664,"Q4 (Best)","50-60%",-0.0185975425942622,-0.0337062374245473,112.8,99.1
678495,2025,2424,0.57088571797266,"Q4 (Best)","50-60%",-0.0186316803402487,-0.0214480198019802,112.8,99.1
657612,2025,2697,0.590885174181755,"Q4 (Best)","60-70%",-0.0185704505728122,-0.0212369299221357,112.7,99.1
595897,2023,174,0.624591454748822,"Q4 (Best)","70-80%",-0.0183740686063237,0.00203448275862069,112.5,99
642528,2024,180,0.577014159039243,"Q4 (Best)","50-60%",-0.0182960996954838,-0.00981666666666667,112.4,99
534910,2025,237,0.556037844234684,"Q3","40-50%",-0.0179711583098456,0.00817721518987342,112,98.9
682254,2024,474,0.603714882432042,"Q4 (Best)","60-70%",-0.0179739649292624,-0.0131329113924051,112,98.9
623352,2024,3453,0.561878371824399,"Q3","40-50%",-0.01782030539368,-0.0165812337098175,111.8,98.9
445276,2025,2607,0.586347070300606,"Q4 (Best)","60-70%",-0.0177864299582918,-0.027409666283084,111.7,98.8
656945,2023,3612,0.569055740428826,"Q4 (Best)","50-60%",-0.0177997291697484,-0.0244717607973422,111.7,98.8
547973,2025,2751,0.562856559316748,"Q3","40-50%",-0.0176849588050619,-0.0331908396946565,111.6,98.7
643511,2023,3309,0.566723005844092,"Q3","50-60%",-0.0177249480704734,-0.0199528558476881,111.6,98.7
687209,2025,495,0.561391788337114,"Q3","40-50%",-0.0177217446745834,0.00821212121212121,111.6,98.7
657044,2023,1329,0.565161158858392,"Q3","50-60%",-0.0175012717893059,-0.0229548532731377,111.4,98.6
661403,2025,2220,0.551357303698828,"Q2","40-50%",-0.0175390333407621,-0.017677027027027,111.4,98.6
678606,2025,3624,0.56615659193382,"Q3","50-60%",-0.0174910628566218,-0.0126009933774834,111.3,98.6
663893,2024,2088,0.55803345532508,"Q3","40-50%",-0.0174066383755281,-0.00950287356321839,111.2,98.5
681911,2023,2544,0.583717656036796,"Q4 (Best)","50-60%",-0.0172667389964223,-0.00475825471698113,111.1,98.5
650911,2024,8367,0.542681711110239,"Q1 (Worst)","40-50%",-0.0172184763645462,-0.015475797776981,111,98.3
663432,2023,54,0.604917615802513,"Q4 (Best)","60-70%",-0.0172303586473895,-0.0222222222222222,111,98.3
676568,2024,114,0.544109509221903,"Q2","40-50%",-0.0172518775155033,-0.0336052631578947,111,98.3
605483,2024,5316,0.579356778723373,"Q4 (Best)","50-60%",-0.0171145593706633,-0.0214294582392777,110.9,98.3
605280,2023,3060,0.540996762359367,"Q1 (Worst)","30-40%",-0.0171046778267327,-0.0186254901960784,110.8,98.2
641941,2025,3204,0.579960783451654,"Q4 (Best)","50-60%",-0.0170599384965339,-0.0194438202247191,110.8,98.2
691548,2025,228,0.581476095270995,"Q4 (Best)","50-60%",-0.0170469687413731,0.009,110.8,98.2
656730,2023,1797,0.570825164035728,"Q4 (Best)","50-60%",-0.0168849897136246,-0.0101485809682805,110.6,98.1
676879,2024,1452,0.518988462872137,"Q1 (Worst)","20-30%",-0.0168882750630706,-0.0193677685950413,110.6,98.1
682254,2025,2577,0.574764948910876,"Q4 (Best)","50-60%",-0.016909566798596,-0.0020407450523865,110.6,98.1
592473,2023,249,0.538878252032004,"Q1 (Worst)","30-40%",-0.0168218519258122,-0.043566265060241,110.5,98
664285,2024,7491,0.536114672735374,"Q1 (Worst)","30-40%",-0.0168545708010376,-0.0184120945134161,110.5,98
594798,2023,1353,0.599464430362073,"Q4 (Best)","60-70%",-0.0167705590694153,-0.0194035476718404,110.4,97.9
664126,2024,2088,0.523846982786855,"Q1 (Worst)","30-40%",-0.0166605224354477,-0.0209224137931034,110.3,97.9
669093,2023,690,0.587341527959294,"Q4 (Best)","60-70%",-0.0165655489712346,0.00817391304347826,110.2,97.9
650556,2025,3552,0.570781507046192,"Q4 (Best)","50-60%",-0.0164874977975381,-0.0184864864864865,110.1,97.7
666974,2024,3024,0.553359668917802,"Q2","40-50%",-0.0165060071883653,-0.00961011904761905,110.1,97.7
689147,2023,177,0.546236213747692,"Q2","40-50%",-0.016510146370126,-0.00940677966101695,110.1,97.7
666974,2023,3018,0.543313851633612,"Q1 (Worst)","40-50%",-0.0164275166152622,-0.0200188866799205,110,97.6
673380,2024,1479,0.583654358472259,"Q4 (Best)","50-60%",-0.0164255831505972,-0.0266855983772819,110,97.6
675911,2023,9288,0.604128469266496,"Q4 (Best)","60-70%",-0.0164581746285718,-0.0154667312661499,110,97.6
650556,2023,3603,0.571989508742782,"Q4 (Best)","50-60%",-0.0163313046372655,-0.017940049958368,109.8,97.6
